array	配列
as-pattern	asパターン
base-case	基底ケース
binding	束縛
bit-operation	ビット演算
bitmask	ビットマスク
bitmask-dp	ビットDP
borrow	借用
boundary	境界条件
buffer-overflow	バッファ溢れ
call-stack	コールスタック
capture	キャプチャ
comparison	比較
concurrency	並行処理
conditional-operator	三項演算子
constexpr	コンパイル時計算
constructor	コンストラクタ
continue-break	breakとcontinue
control-flow	制御の流れ
copy-assignment	コピー代入
counting-sort	計数ソート
dangling-pointer	ダングリング参照
default	デフォルト値
deriving	自動導出
destructor	デストラクタ
division	除算と剰余
dyn-compatibility	dyn互換性
dynamic-programming	動的計画法
enum	列挙型
error-handling	エラー処理
evaluation-order	評価順序
exception	例外
exhaustiveness	網羅性
expression	式と値
factory	ファクトリ
floating-point	浮動小数点数
fold	畳み込み
fold-expression	畳み込み式
function-parameter	関数の引数
function-pointer	関数ポインタ
guard	ガード
higher-order	高階関数
immutability	不変性
imos	いもす法
implicit-conversion	暗黙の型変換
increment-decrement	インクリメント
infinite-list	無限リスト
infinite-loop	無限ループ
inheritance	継承
initialization-order	初期化順序
integer-arithmetic	整数の演算
integer-overflow	整数オーバーフロー
invariant	不変条件
io	IOアクション
ioref	IORef
iterator	イテレータ
iterator-invalidation	イテレータ無効化
lambda	ラムダ式
laziness	遅延評価
lifetime	寿命
list	リスト
loop	ループ
maybe	Maybe型
memoization	メモ化
memory-management	メモリ管理
move-semantics	ムーブ
mutability	可変性
object-slicing	スライシング
off-by-one	オフバイワン
operator-overload	演算子の多重定義
operator-precedence	演算子の優先順位
optional	optional型
ownership	所有権
pattern-matching	パターンマッチ
performance	計算量と速度
pointer	ポインタ
pointer-decay	配列のポインタ化
prefix-sum	累積和
prime-factorization	素因数分解
range-for	範囲for
recursion	再帰
reference	参照
resource-management	資源の後始末
section	セクション記法
segment-tree	セグメント木
semaphore	セマフォ
sentinel	番兵値
shadowing	シャドーイング
short-circuit	短絡評価
signed-unsigned	符号あり・なし
slice	スライス
sorting	ソート
stability	安定性
static-storage	静的記憶域
stdio	標準入出力
string	文字列
string-escaping	文字列のエスケープ
struct	構造体
swap	値の交換
switch	switch文
temporary	一時オブジェクト
testing	テスト
thunk	サンク
trait-object	トレイトオブジェクト
tree	木構造
type-conversion	型変換
typeclass	型クラス
undefined-behavior	未定義動作
use-after-free	解放後の使用
variadic-template	可変長テンプレート
variant	variant型
virtual-function	仮想関数
write-ahead-log	WAL
